"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","IP address","What is your group id?","How many people are in your group?","How many of you have worked as professional Java developers?","How many of you have worked as professional developers in other languages?","On average what is experience in Java programming?","In this lab what language has been assigned to your group?","Any of you have previous developed programs using Kotlin?","What is the Java knowledge of the most experienced member in your group?","How easy was to understand the overall structure of the code?","What is purpose of class RecordingItem?","How many defects did you find in the App?","How many defects were you able to fix?","How long did it take to fix the defect(s)?","Which classes contained defects? [MainActivity]","Which classes contained defects? [FileViewerAdapter]","Which classes contained defects? [DBHelper]","Which classes contained defects? [RecordingItem]","Which classes contained defects? [RecordingService]","How many new classes did you develop?","How many lines of code did you develop?","Did the the IDE (e.g. autocomplete) help in writing code?","Did you experienced NullPointerExceptions?","Did you encounter problems with methods having long argument lists?","How many classes containing mainly data did you write?","How much the effort required to write classes containing mainly data compare to the added value?","How much the effort required to write code to handle class casts compare to the added value?","Total time","Group time: Group background","Question time: GROUPID","Question time: NUMPEOPLE","Question time: PROFJAVA","Question time: PROFOTHER","Question time: JAVAEXP","Question time: LANG","Question time: KOTLEXP","Question time: JAVASKILL","Group time: Application Understanding","Question time: UNDERSTAND","Question time: PURPOSE","Question time: NUMBUG","Question time: FIXBUG","Question time: TIMEFIX","Question time: BUGCLASSES","Group time: Application Development","Question time: DEVCLASSES","Question time: DEVLOC","Question time: DEVIDE","Question time: DEVNULL","Question time: DEVARGS","Question time: DEVDC","Question time: DEVEFFDC","Question time: DEVCAST"
"2","2018-05-18 16:04:39","3","en","8616698","2018-05-18 15:43:15","2018-05-18 16:04:39","5.170.10.107","25","4","0","0","Less than one year","Kotlin","No","Novice: developed a few small (up to 20 classes) projects","Normal","Wraps registration data","1","1","5","No","Yes","No","No","No","0","Less than 200","Enough","Occasionally","Occasionally","0","Lower","Lower","1283.67","35.42","","","","","","","","","1006.97","","","","","","","241.28","","","","","","","",""
"4","2018-05-18 18:19:56","3","en","5897959","2018-05-18 18:09:51","2018-05-18 18:19:56","2.37.201.39","group 18  (AlphaGroup)","4","0","0","Between one year and three years","Java","N/A","Novice: developed a few small (up to 20 classes) projects","Difficult","Wraps registration data","6","6","10","No","Yes","No","No","No","200","Between 500 and 1000","Very much","Very Frequently","Occasionally","50","Proportional","Higher","606.62","39.54","","","","","","","","","517.25","","","","","","","49.83","","","","","","","",""
"12","2018-05-27 15:28:26","3","en","3054655","2018-05-27 15:08:04","2018-05-27 15:28:26","47.53.104.116","15","4","0","0","Between one year and three years","Kotlin","No","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Easy","Stores registrate in database","2","2","30","Yes","No","No","No","Yes","200","More than 1000","Very much","Occasionally","Occasionally","20","Lower","Proportional","195.09","33.93","","","","","","","","","71.73","","","","","","","89.43","","","","","","","",""
"17","2018-05-30 11:31:21","3","en","2288400","2018-05-30 11:18:12","2018-05-30 11:31:21","130.192.232.13","4","4","0","0","Between one year and three years","Kotlin","No","Novice: developed a few small (up to 20 classes) projects","Normal","Wraps registration data","4","4","40","Yes","Yes","No","No","Yes","4","Between 500 and 1000","Enough","Rarely","Never","1","Lower","Lower","788.93","106.08","","","","","","","","","429.67","","","","","","","253.18","","","","","","","",""
"18","2018-05-30 14:01:42","3","en","6369935","2018-05-30 13:58:40","2018-05-30 14:01:42","62.11.77.89","13","4","1","1","More than three years","Kotlin","No","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Normal","Wraps registration data","2","2","30","Yes","No","No","No","Yes","0","Less than 200","Very little","Rarely","Rarely","0","Proportional","Proportional","183.91","63.35","","","","","","","","","72.71","","","","","","","47.85","","","","","","","",""
"22","2018-05-31 11:57:47","3","en","4109452","2018-05-31 11:42:50","2018-05-31 11:57:47","130.192.232.13","PoliTeam ","4","0","1","Between one year and three years","Java","N/A","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Very easy","Wraps registration data","2","2","5","Yes","No","No","No","Yes","11","Between 500 and 1000","Enough","Occasionally","Occasionally","8","Higher","Higher","897.65","49.06","","","","","","","","","536.93","","","","","","","311.66","","","","","","","",""
"27","2018-05-31 15:46:18","3","en","604284","2018-05-31 15:31:48","2018-05-31 15:46:18","2.233.111.28","1","4","0","0","Between one year and three years","Kotlin","No","Novice: developed a few small (up to 20 classes) projects","Normal","Wraps registration data","3","3","40","Yes","Yes","No","No","No","0","Less than 200","Little","Never","Never","0","Much lower","Much lower","871.72","13.74","","","","","","","","","840.25","","","","","","","17.73","","","","","","","",""
"31","2018-05-31 19:04:54","3","en","1421664","2018-05-31 19:03:39","2018-05-31 19:04:54","94.34.186.125","11","4","0","0","Between one year and three years","Kotlin","No","Novice: developed a few small (up to 20 classes) projects","Difficult","Wraps registration data","5","5","60","Yes","Yes","No","No","Yes","0","Less than 200","Enough","Never","Never","0","Proportional","Proportional","5495.09","17.18","","","","","","","","","5452.53","","","","","","","25.38","","","","","","","",""
"32","2018-05-31 20:29:54","3","en","5397381","2018-05-31 20:27:11","2018-05-31 20:29:54","2.37.201.39","Group 18","4","0","0","Between one year and three years","Java","N/A","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Difficult","Manages audio registration","2","2","15","Yes","No","No","No","No","30","Between 200 and 500","Very much","Frequently","Occasionally","20","Proportional","Proportional","166.15","45.92","","","","","","","","","48.22","","","","","","","72.01","","","","","","","",""
"33","2018-05-31 21:29:58","3","en","2721917","2018-05-31 21:19:27","2018-05-31 21:29:58","151.77.91.198","7","4","0","0","Between one year and three years","Kotlin","No","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Normal","Wraps registration data","1","1","5","Yes","No","No","No","No","18","Between 500 and 1000","Enough","Rarely","Rarely","3","Proportional","Proportional","632.35","25.49","","","","","","","","","77.46","","","","","","","529.4","","","","","","","",""
"34","2018-06-01 10:46:57","3","en","7417441","2018-06-01 10:37:37","2018-06-01 10:46:57","91.109.174.225","21","4","0","0","Between one year and three years","Kotlin","No","Novice: developed a few small (up to 20 classes) projects","Normal","Wraps registration data","5","5","35","Yes","No","No","No","Yes","0","Less than 200","Much","Occasionally","Rarely","1","Proportional","Lower","556.99","57.77","","","","","","","","","386.53","","","","","","","112.69","","","","","","","",""
"39","2018-06-01 19:04:14","3","en","5010401","2018-06-01 18:53:58","2018-06-01 19:04:14","93.34.148.59","27","4","0","0","More than three years","Kotlin","No","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Easy","Wraps registration data","3","2","60","Yes","No","No","No","Yes","0","Less than 200","Enough","Very Frequently","Rarely","0","Much lower","Lower","3499.35","42.24","","","","","","","","","3095.64","","","","","","","361.47","","","","","","","",""
"40","2018-06-01 21:15:49","3","en","7987147","2018-06-01 21:09:23","2018-06-01 21:15:49","5.170.11.207","Group_9","4","0","2","More than three years","Kotlin","No","Advanced: developed at at least one large (over 50 classes) project","Easy","Wraps registration data","8","7","1","Yes","Yes","No","No","Yes","0","Less than 200","Enough","Rarely","Never","0","Lower","Much lower","386.78","68.41","","","","","","","","","236.15","","","","","","","82.22","","","","","","","",""
"42","2018-06-01 23:04:23","3","en","561217","2018-06-01 22:49:03","2018-06-01 23:04:23","151.18.20.126","29","4","0","0","Between one year and three years","Kotlin","No","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Difficult","Wraps registration data","6","6","150","Yes","No","No","No","Yes","9","Between 500 and 1000","Very much","Rarely","Never","1","Higher","Proportional","921.08","133.12","","","","","","","","","297.83","","","","","","","490.13","","","","","","","",""
"43","2018-06-02 03:57:38","3","en","8092492","2018-06-02 03:38:37","2018-06-02 03:57:38","2.36.83.53","31","4","0","0","Between one year and three years","Kotlin","No","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Normal","Wraps registration data","3","3","40","Yes","No","No","No","Yes","9","Between 500 and 1000","Enough","Rarely","Rarely","3","Higher","Proportional","24079.8","23019.6","","","","","","","","","461.3","","","","","","","598.9","","","","","","","",""
"46","2018-06-03 15:27:37","3","en","9616574","2018-06-03 15:19:41","2018-06-03 15:27:37","93.144.81.184","5","4","0","1","More than three years","Kotlin","No","Advanced: developed at at least one large (over 50 classes) project","Very easy","Wraps registration data","4","4","18","Yes","Yes","No","No","Yes","14","More than 1000","Very much","Rarely","Occasionally","2","Lower","Much lower","478.34","118.62","","","","","","","","","92.83","","","","","","","266.89","","","","","","","",""
"47","2018-06-04 10:51:03","3","en","1746439","2018-06-04 10:32:43","2018-06-04 10:51:03","5.170.9.159","12","4","0","0","Between one year and three years","Java","N/A","Advanced: developed at at least one large (over 50 classes) project","Very easy","Manages audio registration","7","7","60","Yes","No","Yes","No","Yes","15","Between 500 and 1000","Much","Occasionally","Rarely","4","Much lower","Proportional","1101.71","68.54","","","","","","","","","743.91","","","","","","","289.26","","","","","","","",""
"49","2018-06-04 15:56:01","3","en","4173057","2018-06-04 15:54:07","2018-06-04 15:56:01","130.192.232.13","group 17","4","0","0","Between one year and three years","Kotlin","No","Novice: developed a few small (up to 20 classes) projects","Normal","Wraps registration data","2","1","30","Yes","No","No","No","No","0","Less than 200","Little","Rarely","Never","0","Proportional","Proportional","2912.56","25.98","","","","","","","","","2837.77","","","","","","","48.81","","","","","","","",""
"51","2018-06-05 04:09:34","3","en","3570137","2018-06-05 04:05:56","2018-06-05 04:09:34","130.192.108.49","24","4","0","0","Between one year and three years","Java","N/A","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Normal","Wraps registration data","4","3","60","Yes","Yes","No","No","Yes","0","Less than 200","Very little","Occasionally","Never","0","Proportional","Much lower","218.67","23.32","","","","","","","","","61.97","","","","","","","133.38","","","","","","","",""
"52","2018-06-06 19:00:56","3","en","4197100","2018-06-06 18:51:06","2018-06-06 19:00:56","130.192.155.249","28","4","0","0","Between one year and three years","Java","N/A","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Easy","Manages audio registration","2","2","10","Yes","No","No","No","Yes","4","Between 200 and 500","Much","Occasionally","Occasionally","1","Proportional","Proportional","591.58","60.83","","","","","","","","","94.58","","","","","","","436.17","","","","","","","",""
"54","2018-06-07 12:47:59","3","en","8784143","2018-06-07 12:42:49","2018-06-07 12:47:59","130.192.232.10","2","4","0","0","Between one year and three years","Java","N/A","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Normal","Wraps registration data","2","2","25","Yes","No","No","No","Yes","9","More than 1000","Very much","Occasionally","Rarely","2","Much lower","Much lower","2412.25","20.92","","","","","","","","","2131.67","","","","","","","259.66","","","","","","","",""
"57","2018-06-08 14:08:24","3","en","9124828","2018-06-08 13:57:53","2018-06-08 14:08:24","130.192.232.12","Group10-Tron","4","0","0","Between one year and three years","Java","N/A","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Normal","Wraps registration data","3","3","15","Yes","No","No","No","Yes","10","More than 1000","Very much","Very Frequently","Occasionally","1","Proportional","Proportional","632.22","45.48","","","","","","","","","282.63","","","","","","","304.11","","","","","","","",""
"59","2018-06-08 16:04:40","3","en","4314437","2018-06-08 15:57:47","2018-06-08 16:04:40","93.34.153.244","16","4","0","0","Less than one year","Java","N/A","Novice: developed a few small (up to 20 classes) projects","Easy","Wraps registration data","5","5","20","Yes","No","No","No","Yes","10","More than 1000","Enough","Frequently","Rarely","2","Proportional","Proportional","414.11","29.08","","","","","","","","","33.03","","","","","","","352","","","","","","","",""
"61","2018-06-08 17:09:31","3","en","9850866","2018-06-08 17:06:06","2018-06-08 17:09:31","130.192.232.13","26","4","1","0","Between one year and three years","Java","N/A","Novice: developed a few small (up to 20 classes) projects","Difficult","Wraps registration data","2","2","30","Yes","No","No","No","No","3","Less than 200","Enough","Occasionally","Rarely","1","Proportional","Much higher","3650.28","32","","","","","","","","","3467.45","","","","","","","150.83","","","","","","","",""
"62","2018-06-08 17:27:20","3","en","1577822","2018-06-08 17:21:56","2018-06-08 17:27:20","93.35.203.15","23","4","0","0","Less than one year","Kotlin","No","Novice: developed a few small (up to 20 classes) projects","Normal","Stores registrate in database","2","1","90","Yes","Yes","No","No","No","0","Less than 200","Little","Occasionally","Occasionally","0","Proportional","Proportional","6812.97","47.89","","","","","","","","","6530.72","","","","","","","234.36","","","","","","","",""
"64","2018-06-08 20:18:30","3","en","6949105","2018-06-08 20:10:41","2018-06-08 20:18:30","130.192.232.11","30","4","0","0","Between one year and three years","Java","N/A","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Normal","Stores registrate in database","3","2","150","No","Yes","No","Yes","No","35","Between 500 and 1000","Very much","Frequently","Never","7","Lower","Lower","6380.99","34.49","","","","","","","","","5940.56","","","","","","","405.94","","","","","","","",""
"66","2018-06-13 10:20:17","3","en","7832593","2018-06-13 10:04:35","2018-06-13 10:20:17","37.119.156.145","19","4","0","0","Between one year and three years","Kotlin","No","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Very easy","Stores registrate in database","2","2","20","Yes","No","No","No","No","4","Less than 200","Very much","Never","Occasionally","1","Proportional","Much lower","943.19","66.53","","","","","","","","","579.42","","","","","","","297.24","","","","","","","",""
"68","2018-06-13 19:56:05","3","en","6277336","2018-06-13 19:33:27","2018-06-13 19:56:05","188.152.69.152","22","4","1","2","Between one year and three years","Java","N/A","Advanced: developed at at least one large (over 50 classes) project","Normal","Wraps registration data","2","2","10","Yes","No","No","No","Yes","5","More than 1000","Very much","Frequently","Occasionally","3","Proportional","Proportional","1358.55","23.15","","","","","","","","","361.08","","","","","","","974.32","","","","","","","",""
"69","2018-06-13 21:13:58","3","en","1521611","2018-06-13 20:56:56","2018-06-13 21:13:58","151.32.222.214","32","4","0","2","Less than one year","Java","N/A","Novice: developed a few small (up to 20 classes) projects","Normal","Manages audio registration","2","2","30","Yes","Yes","No","No","No","19","More than 1000","Much","Rarely","Occasionally","6","Lower","Proportional","1022.55","38.05","","","","","","","","","914.9","","","","","","","69.6","","","","","","","",""
"70","2018-06-14 14:10:59","3","en","8776048","2018-06-14 14:05:45","2018-06-14 14:10:59","130.192.232.28","20","4","0","0","Less than one year","Java","N/A","Intermediate: developed at least one medium-sized (20 to 50 classes) projects","Difficult","Wraps registration data","4","4","45","Yes","Yes","No","No","Yes","4","Between 500 and 1000","Very much","Frequently","Rarely","2","Higher","Proportional","315.62","16.46","","","","","","","","","60.64","","","","","","","238.52","","","","","","","",""
"71","2018-06-17 13:08:57","3","en","9315406","2018-06-16 16:25:56","2018-06-17 13:08:57","79.20.206.148","14","4","0","0","Between one year and three years","Java","N/A","Novice: developed a few small (up to 20 classes) projects","Normal","Wraps registration data","4","4","120","Yes","Yes","No","No","Yes","13","More than 1000","Very much","Rarely","Never","2","Lower","Proportional","1640.49","117.35","","","","","","","","","1035.34","","","","","","","487.8","","","","","","","",""

